id,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,bed_type,price,price_r,minimum_nights,review,reviews_per_month
10363359,Western Addition,37.77345229,-122.4345881,Entire home/apt,6,3,3,Real Bed,250,High,1,Very High,0.61
1515471,Western Addition,37.78849228,-122.4296598,Entire home/apt,2,1,1,Real Bed,190,High,3,Very High,0.48
12307851,Western Addition,37.7833768,-122.4320179,Private room,2,1,1,Real Bed,98,Low,2,Medium,0.86
593253,Western Addition,37.77023074,-122.4295697,Private room,1,1,1,Real Bed,95,Low,2,High,2.96
2088912,Western Addition,37.78612524,-122.4369083,Private room,2,1,1,Real Bed,294,Very High,3,Very High,0.29
9493932,Western Addition,37.78631406,-122.4402186,Entire home/apt,4,2,2,Real Bed,210,High,2,High,3.47
10022810,Western Addition,37.7731721,-122.4275412,Private room,4,1,2,Real Bed,100,Low,1,Medium,3.33
3415442,Western Addition,37.78068114,-122.4436889,Entire home/apt,2,1,1,Real Bed,270,Very High,2,High,0.5
7972067,Western Addition,37.78055559,-122.4474427,Entire home/apt,2,1,1,Real Bed,155,High,2,Medium,3.61
6626648,Western Addition,37.77022395,-122.4319549,Private room,1,1,1,Real Bed,80,Low,1,Very High,0.05
14323059,Western Addition,37.77808156,-122.4404009,Entire home/apt,2,1,1,Real Bed,199,High,2,High,3.57
9063798,Western Addition,37.77290988,-122.4364145,Entire home/apt,6,2,3,Couch,650,Very High,1,Low,0.19
1711403,Western Addition,37.78255349,-122.4439364,Shared room,3,1,3,Real Bed,85,Low,4,High,2.05
1596696,Western Addition,37.78024112,-122.4434522,Entire home/apt,3,1,2,Real Bed,160,High,3,High,3.23
13917436,Western Addition,37.77315707,-122.4237312,Entire home/apt,5,2,3,Real Bed,150,Medium,7,Very High,0.59
8133672,Western Addition,37.77910466,-122.4423381,Entire home/apt,2,1,1,Real Bed,225,High,3,Very High,0.15
10689539,Western Addition,37.78258692,-122.4410918,Private room,3,1,1,Real Bed,139,Medium,2,High,7.36
1317908,Western Addition,37.78292515,-122.4342712,Private room,1,1,1,Real Bed,80,Low,3,High,1.11
12089415,Western Addition,37.7766529,-122.4412667,Entire home/apt,2,1,2,Real Bed,295,Very High,3,High,1.15
10673179,Western Addition,37.78502555,-122.4460674,Private room,1,1,1,Real Bed,150,Medium,1,Very High,0.22
6658953,Western Addition,37.7760357,-122.4283293,Entire home/apt,2,1,1,Real Bed,190,High,2,Very High,0.09
3283447,Western Addition,37.77283146,-122.429882,Private room,2,1,1,Real Bed,155,High,1,High,5.52
10787814,Western Addition,37.77751124,-122.4364984,Entire home/apt,2,1,1,Real Bed,145,Medium,30,Very High,0.48
56200,Western Addition,37.78628892,-122.4395658,Entire home/apt,4,1,1,Real Bed,170,High,30,High,3.38
2142197,Western Addition,37.77784522,-122.4451798,Entire home/apt,6,3,4,Real Bed,245,High,1,Low,0.05
7937959,Western Addition,37.78479128,-122.4316768,Entire home/apt,4,2,2,Real Bed,400,Very High,1,Medium,0.2
14375372,Western Addition,37.77813817,-122.4407941,Private room,2,1,1,Real Bed,100,Low,1,Very High,0.54
3317591,Western Addition,37.77565942,-122.4331297,Private room,1,1,1,Real Bed,125,Medium,3,Medium,0.15
13635551,Western Addition,37.78432794,-122.4455934,Entire home/apt,3,1,2,Real Bed,155,High,2,Medium,2.33
9402993,Western Addition,37.77861563,-122.432209,Entire home/apt,8,3,5,Real Bed,550,Very High,1,Very High,0.5
1121953,Western Addition,37.77165055,-122.425717,Entire home/apt,2,0,1,Real Bed,600,Very High,4,High,0.29
14802586,Western Addition,37.7736359,-122.4326299,Entire home/apt,2,0,1,Real Bed,159,High,3,High,2.3
14168000,Western Addition,37.7820532,-122.4426899,Private room,2,1,1,Real Bed,125,Medium,5,Very High,0.26
1187425,Western Addition,37.78020923,-122.4430462,Entire home/apt,4,1,1,Real Bed,135,Medium,2,Medium,0.1
7759829,Western Addition,37.77444087,-122.4359402,Private room,2,1,1,Airbed,149,Medium,2,Very High,0.05
10968594,Western Addition,37.77671098,-122.4242679,Entire home/apt,4,1,2,Real Bed,175,High,2,Medium,0.21
3890704,Western Addition,37.77089668,-122.4285368,Entire home/apt,3,2,2,Real Bed,250,High,7,Medium,0.85
2612741,Western Addition,37.77027691,-122.4347894,Entire home/apt,5,2,2,Real Bed,200,High,3,High,1.58
15162895,Western Addition,37.78577397,-122.44146,Entire home/apt,6,2,3,Real Bed,199,High,1,Very High,0.33
14507492,Western Addition,37.78158432,-122.4403316,Private room,2,1,1,Real Bed,140,Medium,3,High,0.94
7712676,Western Addition,37.78836957,-122.4321864,Private room,2,1,1,Real Bed,325,Very High,2,Very High,0.09
2202505,Western Addition,37.77714678,-122.4418177,Entire home/apt,6,3,4,Real Bed,359,Very High,2,Medium,0.55
8739306,Western Addition,37.78829386,-122.4245513,Private room,2,1,1,Real Bed,190,High,1,Medium,0.29
